age,M,F
0,2075603,1981628
1,2069787,1976276
2,2063401,1970531
3,2055517,1963552
4,2046061,1954894
5,2048634,1961598
6,2063893,1973884
7,2058301,1976538
8,2058013,1977298
9,2125335,2039152
10,2138168,2046595
11,2121714,2029005
12,2114033,2023585
13,2116804,2029155
14,2100731,2016247
15,2094257,2010029
16,2151856,2061555
17,2195116,2094807
18,2169738,2069862
19,2182024,2079760
20,2197203,2096150
21,2228094,2115336
22,2285162,2163160
23,2335679,2208461
24,2374823,2238706
25,2429594,2302626
26,2459466,2354390
27,2448952,2354126
28,2352429,2263618
29,2293084,2213568
30,2250695,2175689
31,2253014,2183961
32,2259046,2203759
33,2177035,2140290
34,2201001,2173763
35,2194108,2175228
36,2164709,2153754
37,2212231,2186556
38,2066702,2061990
39,2021733,2023332
40,1993935,2007785
41,1934846,1947159
42,1993654,2001903
43,1921698,1946433
44,1941506,1980630
45,2030002,2065549
46,2142871,2183428
47,2175760,2200930
48,2057126,2090126
49,2008794,2047712
50,2002094,2055460
51,2036951,2091224
52,2153196,2216872
53,2181060,2265513
54,2171381,2267125
55,2161925,2264873
56,2179763,2296847
57,2197870,2310345
58,2112079,2241340
59,2091291,2231299
60,2057714,2212197
61,1973813,2138130
62,1949700,2120157
63,1856156,2041613
64,1777569,1965175
65,1702823,1887917
66,1638014,1832072
67,1592120,1783312
68,1536427,1730737
69,1514493,1708901
70,1567870,1773538
71,1141243,1311663
72,1112024,1292617
73,1071578,1259609
74,1083644,1284565
75,928251,1118130
76,830444,1021265
77,771933,960582
78,715318,895353
79,666582,854558
80,597682,783321
81,553332,742519
82,511259,707204
83,443217,627695
84,410021,600051
85,373305,564228
86,336572,527740
87,303213,495644
88,256034,435897
89,221606,397523
90,186381,350949
91,151157,301456
92,123075,261380
93,96692,216556
94,73963,173490
95,55397,139001
96,40496,107024
97,27398,78544
98,17470,53307
99,11848,38997
100,15353,59472
